2022-04-06 11:31:18,352 INFO    MainThread:29759 [wandb_setup.py:_flush():75] Loading settings from /root/.config/wandb/settings
2022-04-06 11:31:18,353 INFO    MainThread:29759 [wandb_setup.py:_flush():75] Loading settings from /root/research/deep-segmentation/wandb/settings
2022-04-06 11:31:18,353 INFO    MainThread:29759 [wandb_setup.py:_flush():75] Loading settings from environment variables: {}
2022-04-06 11:31:18,353 INFO    MainThread:29759 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2022-04-06 11:31:18,353 INFO    MainThread:29759 [wandb_init.py:_log_setup():386] Logging user logs to /root/research/deep-segmentation/wandb/run-20220406_113118-2760oy5m/logs/debug.log
2022-04-06 11:31:18,353 INFO    MainThread:29759 [wandb_init.py:_log_setup():387] Logging internal logs to /root/research/deep-segmentation/wandb/run-20220406_113118-2760oy5m/logs/debug-internal.log
2022-04-06 11:31:18,353 INFO    MainThread:29759 [wandb_init.py:init():420] calling init triggers
2022-04-06 11:31:18,353 INFO    MainThread:29759 [wandb_init.py:init():425] wandb.init called with sweep_config: {}
config: {'model': 'unet'}
2022-04-06 11:31:18,353 INFO    MainThread:29759 [wandb_init.py:init():466] wandb.init() called when a run is still active
2022-04-06 11:40:18,063 INFO    MainThread:29759 [wandb_run.py:_atexit_cleanup():1797] got exitcode: 255
2022-04-06 11:40:18,071 INFO    MainThread:29759 [wandb_run.py:_restore():1769] restore
2022-04-06 11:40:25,938 INFO    MainThread:29759 [wandb_run.py:_wait_for_finish():1929] got exit ret: None
2022-04-06 11:40:26,040 INFO    MainThread:29759 [wandb_run.py:_restore():1769] restore
